canonical_key,operator,line,render_kind,shape_class,session,built,display_line_ids,parts,drawn_km,drawn_stations,n02_km,semantic_km,audit_stations,n02_station_features,audit_edges,anchor_pass,anchor_warning,anchor_error,topology_status,topology_findings,builder_notes,skip_edges_dropped,not_drawn_reason,official_km,official_stations,source_url,verdict,review_notes
西日本旅客鉄道␟大阪環状線,西日本旅客鉄道,大阪環状線,jr_conventional,loop,26,yes,jp-西日本旅客鉄道-大阪環状線,1,21.775,19,21.768,18.427,19,19,19,19,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟奈良線,西日本旅客鉄道,奈良線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-奈良線,1,34.856,19,35.481,32.849,19,19,18,19,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟姫新線,西日本旅客鉄道,姫新線,jr_conventional,ordinary_linear,23,yes,jp-西日本旅客鉄道-姫新線,1,157.915,36,159.499,154.348,36,36,35,36,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟宇部線,西日本旅客鉄道,宇部線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-宇部線,1,33.36,18,33.615,31.431,18,18,17,18,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟宇野線,西日本旅客鉄道,宇野線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-宇野線,1,32.773,15,33.027,29.964,15,15,14,15,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟小浜線,西日本旅客鉄道,小浜線,jr_conventional,ordinary_linear,23,yes,jp-西日本旅客鉄道-小浜線,1,84.224,24,84.482,80.834,24,24,23,24,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟小野田線,西日本旅客鉄道,小野田線,jr_conventional,branched_terminal,26,yes,jp-西日本旅客鉄道-小野田線|jp-西日本旅客鉄道-小野田線-2,2,13.986,12,14.177,12.922,11,12,10,12,0,0,PASS,,"1 audited branch part(s) drawn as sibling display line(s) | 1 interval(s) differ from the audited distance: [('雀田', '浜河内', 1.411, 1.229)]",0,,,,,,
西日本旅客鉄道␟山口線,西日本旅客鉄道,山口線,jr_conventional,ordinary_linear,23,yes,jp-西日本旅客鉄道-山口線,1,93.943,28,94.157,91.138,28,28,27,28,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟山陰線,西日本旅客鉄道,山陰線,jr_conventional,branched_terminal,23,yes,jp-西日本旅客鉄道-山陰線|jp-西日本旅客鉄道-山陰線-2,2,681.488,163,677.976,648.082,161,161,161,162,1,0,PASS,,trunk plus 1 branch(es) split from the graph (1 rejoining route(s)),0,,,,,,
西日本旅客鉄道␟山陽新幹線,西日本旅客鉄道,山陽新幹線,shinkansen,ordinary_linear,16,yes,jp-西日本旅客鉄道-山陽新幹線,1,553.138,19,554.931,545.709,19,20,18,19,0,0,PASS,,,0,,,,,,
